ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,urban_1,urban_2,urban_3,urban_4,urban_5,rural_1_2,rural_3,rural_4,rural_5
VNM.27.16.10_1,HàNội,LongBiên,PhúcLợi,ThànhPhố,Quận,Phường,6213077.402614982,437.0,824.0,978.0,1561.0,1374.0,0.0,,,0.0
VNM.27.12.7_1,HàNội,HaiBàTrưng,ĐồngNhân,ThànhPhố,Quận,Phường,140484.31486450223,296.0,518.0,574.0,618.0,461.0,0.0,,,0.0
VNM.27.12.17_1,HàNội,HaiBàTrưng,ThanhLương,ThànhPhố,Quận,Phường,1179749.6507871395,678.0,1277.0,1485.0,1995.0,1605.0,0.0,,,0.0
VNM.27.15.1_1,HàNội,HoàngMai,ĐạiKim,ThànhPhố,Quận,Phường,2838811.413308684,1240.0,2205.0,3257.0,4640.0,2644.0,0.0,,,0.0
VNM.27.23.11_1,HàNội,SócSơn,NamSơn,ThànhPhố,Huyện,Xã,24239148.80845181,,,,,0.0,425.0,385.0,711.0,826.0
VNM.27.23.21_1,HàNội,SócSơn,ThanhXuân,ThànhPhố,Huyện,Xã,8847983.34078067,,,,,0.0,465.0,455.0,1014.0,1439.0
VNM.27.9.18_1,HàNội,ĐôngAnh,VânHà,ThànhPhố,Huyện,Xã,5135604.951785718,,,,,0.0,478.0,343.0,725.0,1157.0
VNM.27.9.4_1,HàNội,ĐôngAnh,DụcTú,ThànhPhố,Huyện,Xã,8676445.243808664,,,,,0.0,773.0,644.0,1270.0,1713.0
VNM.27.9.21_1,HàNội,ĐôngAnh,VĩnhNgọc,ThànhPhố,Huyện,Xã,9288935.845545832,,,,,0.0,594.0,549.0,1173.0,1504.0
VNM.27.10.15_1,HàNội,GiaLâm,PhùĐổng,ThànhPhố,Huyện,Xã,11928218.49220997,,,,,0.0,1149.0,693.0,1314.0,809.0
VNM.27.10.13_1,HàNội,GiaLâm,LệChi,ThànhPhố,Huyện,Xã,8130346.904036665,,,,,0.0,1320.0,514.0,878.0,898.0
VNM.27.10.11_1,HàNội,GiaLâm,KimLan,ThànhPhố,Huyện,Xã,2983476.4323301977,,,,,0.0,393.0,324.0,592.0,425.0
VNM.27.19.4_1,HàNội,NamTừLiêm,MỹĐình1,ThànhPhố,Quận,Phường,2208708.261231345,2083.0,2323.0,1730.0,1953.0,1346.0,0.0,,,0.0
VNM.27.19.5_1,HàNội,NamTừLiêm,MỹĐình2,ThànhPhố,Quận,Phường,2082990.7769940656,1224.0,1531.0,1683.0,2301.0,1485.0,0.0,,,0.0
VNM.27.28.2_1,HàNội,ThanhTrì,ĐôngMỹ,ThànhPhố,Huyện,Xã,2846645.429110173,,,,,0.0,838.0,581.0,947.0,418.0
VNM.27.2.10_1,HàNội,BắcTừLiêm,ThụyPhương,ThànhPhố,Quận,Phường,2757018.107444433,709.0,627.0,728.0,1129.0,846.0,0.0,,,0.0
VNM.27.18.5_1,HàNội,MêLinh,KimHoa,ThànhPhố,Huyện,Xã,7982089.253015268,,,,,0.0,646.0,490.0,952.0,930.0
VNM.27.18.14_1,HàNội,MêLinh,TiếnThịnh,ThànhPhố,Huyện,Xã,6135406.0457555335,,,,,0.0,521.0,432.0,641.0,1145.0
VNM.27.11.4_1,HàNội,HàĐông,HàCầu,ThànhPhố,Quận,Phường,1458641.8573828947,422.0,903.0,1221.0,1998.0,1552.0,0.0,,,0.0
VNM.27.24.13_1,HàNội,SơnTây,ViênSơn,ThànhPhố,ThịXã,Phường,3275233.9822789486,153.0,292.0,367.0,499.0,604.0,0.0,,,0.0
VNM.27.4.2_1,HàNội,BaVì,BaVì,ThànhPhố,Huyện,Xã,25639143.357253794,,,,,0.0,46.0,71.0,192.0,213.0
VNM.27.21.11_1,HàNội,PhúcThọ,SenChiểu,ThànhPhố,Huyện,Xã,5206708.400784314,,,,,0.0,739.0,445.0,837.0,742.0
VNM.27.21.14_1,HàNội,PhúcThọ,ThọLộc,ThànhPhố,Huyện,Xã,3781713.3378642425,,,,,0.0,432.0,349.0,545.0,682.0
VNM.27.8.2_1,HàNội,ĐanPhượng,ĐanPhượng,ThànhPhố,Huyện,Xã,3814515.9163919208,,,,,0.0,653.0,392.0,747.0,694.0
VNM.27.13.13_1,HàNội,HoàiĐức,MinhKhai,ThànhPhố,Huyện,Xã,1955485.7643870644,,,,,0.0,222.0,207.0,435.0,597.0
VNM.27.13.3_1,HàNội,HoàiĐức,CátQuế,ThànhPhố,Huyện,Xã,4128760.736683608,,,,,0.0,545.0,648.0,1221.0,1670.0
VNM.27.26.4_1,HàNội,ThạchThất,CẩmYên,ThànhPhố,Huyện,Xã,3909197.9791820035,,,,,0.0,188.0,167.0,350.0,527.0
VNM.27.6.5_1,HàNội,ChươngMỹ,ĐôngPhươngYên,ThànhPhố,Huyện,Xã,5981040.9384949505,,,,,0.0,465.0,381.0,750.0,1166.0
VNM.27.6.2_1,HàNội,ChươngMỹ,ĐạiYên,ThànhPhố,Huyện,Xã,4473002.48146592,,,,,0.0,354.0,258.0,448.0,588.0
VNM.27.27.17_1,HàNội,ThanhOai,ThanhCao,ThànhPhố,Huyện,Xã,4760348.059131257,,,,,0.0,674.0,548.0,910.0,754.0
VNM.27.30.3_1,HàNội,ThườngTín,DuyênThái,ThànhPhố,Huyện,Xã,4138156.6501358175,,,,,0.0,858.0,640.0,1164.0,729.0
VNM.27.20.4_1,HàNội,PhúXuyên,ĐạiThắng,ThànhPhố,Huyện,Xã,4189666.9507126054,,,,,0.0,586.0,387.0,564.0,404.0
VNM.27.20.2_1,HàNội,PhúXuyên,ChâuCan,ThànhPhố,Huyện,Xã,8341916.773627656,,,,,0.0,758.0,476.0,716.0,804.0
VNM.27.17.7_1,HàNội,MỹĐức,ĐốcTín,ThànhPhố,Huyện,Xã,3582942.825296508,,,,,0.0,433.0,262.0,380.0,280.0
VNM.26.6.6_1,HàGiang,MèoVạc,MèoVạc,Tỉnh,Huyện,ThịTrấn,19268798.23682876,187.0,292.0,422.0,458.0,470.0,0.0,,,0.0
VNM.26.6.13_1,HàGiang,MèoVạc,SủngTrà,Tỉnh,Huyện,Xã,23534152.054085456,,,,,0.0,94.0,77.0,175.0,502.0
VNM.26.11.12_1,HàGiang,YênMinh,NgọcLong,Tỉnh,Huyện,Xã,94614939.46892662,,,,,0.0,71.0,115.0,300.0,1130.0
VNM.26.11.5_1,HàGiang,YênMinh,ĐườngThượng,Tỉnh,Huyện,Xã,51516845.434914425,,,,,0.0,112.0,104.0,177.0,489.0
