ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.27.14.10_1,HàNội,HoànKiếm,HàngĐào,ThànhPhố,Quận,Phường,53630.42658894646,5393,5393.0,,100559.0
VNM.27.14.17_1,HàNội,HoànKiếm,TrầnHưngĐạo,ThànhPhố,Quận,Phường,477877.37803269457,7039,7039.0,,14730.0
VNM.27.25.4_1,HàNội,TâyHồ,QuảngAn,ThànhPhố,Quận,Phường,3791341.5779486727,10290,10290.0,,2714.0
VNM.27.16.7_1,HàNội,LongBiên,NgọcLâm,ThànhPhố,Quận,Phường,890134.1287963076,23923,23923.0,,26876.0
VNM.27.16.6_1,HàNội,LongBiên,LongBiên,ThànhPhố,Quận,Phường,8260700.245747167,22028,22028.0,,2667.0
VNM.27.12.11_1,HàNội,HaiBàTrưng,NgôThìNhậm,ThànhPhố,Quận,Phường,189225.7648074304,5013,5013.0,,26492.0
VNM.27.12.20_1,HàNội,HaiBàTrưng,VĩnhTuy,ThànhPhố,Quận,Phường,1542530.3776495985,51644,51644.0,,33480.0
VNM.27.15.2_1,HàNội,HoàngMai,ĐịnhCông,ThànhPhố,Quận,Phường,2772402.745222559,48671,48671.0,,17556.0
VNM.27.15.9_1,HàNội,HoàngMai,ThịnhLiệt,ThànhPhố,Quận,Phường,2981930.1184394625,40286,40286.0,,13510.0
VNM.27.15.4_1,HàNội,HoàngMai,HoàngLiệt,ThànhPhố,Quận,Phường,5447698.622772667,78845,78845.0,,14473.0
VNM.27.23.5_1,HàNội,SócSơn,HồngKỳ,ThànhPhố,Huyện,Xã,14424946.368330397,12559,,12559.0,871.0
VNM.27.23.1_1,HàNội,SócSơn,BắcPhú,ThànhPhố,Huyện,Xã,11598684.823807023,11572,,11572.0,998.0
VNM.27.9.19_1,HàNội,ĐôngAnh,VânNội,ThànhPhố,Huyện,Xã,6903271.265186666,12836,,12836.0,1859.0
VNM.27.9.21_1,HàNội,ĐôngAnh,VĩnhNgọc,ThànhPhố,Huyện,Xã,9288935.845545832,15905,,15905.0,1712.0
VNM.27.10.12_1,HàNội,GiaLâm,KimSơn,ThànhPhố,Huyện,Xã,6390991.73574318,13465,,13465.0,2107.0
VNM.27.10.6_1,HàNội,GiaLâm,ĐôngDư,ThànhPhố,Huyện,Xã,3885639.834108754,6231,,6231.0,1604.0
VNM.27.19.9_1,HàNội,NamTừLiêm,TrungVăn,ThànhPhố,Quận,Phường,2882965.4054569993,41293,41293.0,,14323.0
VNM.27.28.8_1,HàNội,ThanhTrì,TảThanhOai,ThànhPhố,Huyện,Xã,8014284.874235558,39492,,39492.0,4928.0
VNM.27.28.2_1,HàNội,ThanhTrì,ĐôngMỹ,ThànhPhố,Huyện,Xã,2846645.429110173,9085,,9085.0,3191.0
VNM.27.2.5_1,HàNội,BắcTừLiêm,LiênMạc,ThànhPhố,Quận,Phường,4847260.017530299,10529,10529.0,,2172.0
VNM.27.18.5_1,HàNội,MêLinh,KimHoa,ThànhPhố,Huyện,Xã,7982089.253015268,11599,,11599.0,1453.0
VNM.27.18.13_1,HàNội,MêLinh,TiếnThắng,ThànhPhố,Huyện,Xã,8681703.831039287,14930,,14930.0,1720.0
VNM.27.18.8_1,HàNội,MêLinh,QuangMinh,ThànhPhố,Huyện,ThịTrấn,8875906.751068115,24639,24639.0,,2776.0
VNM.27.18.14_1,HàNội,MêLinh,TiếnThịnh,ThànhPhố,Huyện,Xã,6135406.0457555335,11418,,11418.0,1861.0
VNM.27.18.18_1,HàNội,MêLinh,VănKhê,ThànhPhố,Huyện,Xã,13928498.959903968,15558,,15558.0,1117.0
VNM.27.11.9_1,HàNội,HàĐông,PhúLa,ThànhPhố,Quận,Phường,1728728.1935698707,24038,24038.0,,13905.0
VNM.27.11.10_1,HàNội,HàĐông,PhúLãm,ThànhPhố,Quận,Phường,2733569.0010809195,15608,15608.0,,5710.0
VNM.27.4.4_1,HàNội,BaVì,CổĐô,ThànhPhố,Huyện,Xã,6789272.867454017,8211,,8211.0,1209.0
VNM.27.4.6_1,HàNội,BaVì,ChâuSơn,ThànhPhố,Huyện,Xã,3695052.71712818,4661,,4661.0,1261.0
