dist_id,city,district,city_title,dist_title,area_sqm,urban_15_34,rural_15_34,total_15_34,dense_15_34
VNM.27.15_1,HàNội,HoàngMai,ThànhPhố,Quận,40088284.03499687,165815.0,0.0,165815.0,4136.0
VNM.27.26_1,HàNội,ThạchThất,ThànhPhố,Huyện,186043079.9933269,1880.0,65474.0,67354.0,362.0
VNM.14.8_1,CaoBằng,PhụcHoà,Tỉnh,Huyện,250978339.0340585,2861.0,4374.0,7235.0,29.0
VNM.38.7_1,LàoCai,SaPa,Tỉnh,Huyện,680980424.2452943,3487.0,19639.0,23126.0,34.0
VNM.36.4_1,LaiChâu,PhongThổ,Tỉnh,Huyện,1027170299.2174034,1925.0,26456.0,28381.0,28.0
VNM.63.1_1,YênBái,LụcYên,Tỉnh,Huyện,808867917.5917567,2589.0,31115.0,33704.0,42.0
VNM.30.6_1,HoàBình,LạcSơn,Tỉnh,Huyện,587731762.9769665,1053.0,37398.0,38451.0,65.0
VNM.56.8_1,TháiNguyên,TháiNguyên,Tỉnh,ThànhPhố,222848246.59208387,79133.0,31123.0,110256.0,495.0
VNM.35.3_1,LạngSơn,CaoLộc,Tỉnh,Huyện,616697069.2502184,5309.0,21106.0,26415.0,43.0
VNM.49.9_1,QuảngNinh,HoànhBồ,Tỉnh,Huyện,843237552.6598781,3505.0,13590.0,17095.0,20.0
VNM.44.9_1,PhúThọ,ThanhBa,Tỉnh,Huyện,195590291.59314877,1932.0,29520.0,31452.0,161.0
VNM.22.2_1,HảiDương,CẩmGiàng,Tỉnh,Huyện,109929025.23280792,4822.0,40140.0,44962.0,409.0
VNM.23.14_1,HảiPhòng,TiênLãng,ThànhPhố,Huyện,186417684.2808634,3748.0,38033.0,41781.0,224.0
VNM.31.8_1,HưngYên,VănGiang,Tỉnh,Huyện,72243246.46061513,3179.0,31245.0,34424.0,477.0
VNM.55.6_1,TháiBình,TháiThụy,Tỉnh,Huyện,283839778.60524863,2249.0,60042.0,62291.0,219.0
VNM.55.8_1,TháiBình,VũThư,Tỉnh,Huyện,196921133.65983328,891.0,57393.0,58284.0,296.0
VNM.40.8_1,NamĐịnh,VụBản,Tỉnh,Huyện,153067364.76802102,1887.0,31327.0,33214.0,217.0
VNM.40.7_1,NamĐịnh,TrựcNinh,Tỉnh,Huyện,143286501.1740439,8362.0,34178.0,42540.0,297.0
VNM.57.7_1,ThanhHóa,HoằngHóa,Tỉnh,Huyện,201194435.84564942,1112.0,70434.0,71546.0,356.0
VNM.57.13_1,ThanhHóa,NhưXuân,Tỉnh,Huyện,714446196.646979,1127.0,19878.0,21005.0,29.0
VNM.57.12_1,ThanhHóa,NhưThanh,Tỉnh,Huyện,599319097.7731258,1737.0,30264.0,32001.0,53.0
VNM.41.1_1,NghệAn,AnhSơn,Tỉnh,Huyện,600142273.7759646,1353.0,34836.0,36189.0,60.0
VNM.29.13_1,HàTĩnh,VũQuang,Tỉnh,Huyện,635726994.7398491,1058.0,6061.0,7119.0,11.0
VNM.29.11_1,HàTĩnh,NghiXuân,Tỉnh,Huyện,229021592.93507695,3661.0,25791.0,29452.0,129.0
VNM.46.1_1,QuảngBình,BốTrạch,Tỉnh,Huyện,2106229111.911396,4914.0,55222.0,60136.0,29.0
VNM.50.3_1,QuảngTrị,ĐaKrông,Tỉnh,Huyện,1102484489.4591937,1486.0,13655.0,15141.0,14.0
VNM.50.1_1,QuảngTrị,CồnCỏ,Tỉnh,Huyện,2148688.7277414287,0.0,156.0,156.0,73.0
VNM.54.6_1,ThừaThiênHuế,PhongĐiền,Tỉnh,Huyện,951690078.9569298,2174.0,21324.0,23498.0,25.0
VNM.54.7_1,ThừaThiênHuế,PhúLộc,Tỉnh,Huyện,711025332.8080083,6641.0,29559.0,36200.0,51.0
VNM.19.6_1,ĐàNẵng,SơnTrà,ThànhPhố,Quận,59005356.65952407,54775.0,0.0,54775.0,928.0
VNM.19.1_1,ĐàNẵng,CẩmLệ,ThànhPhố,Quận,32778437.07046587,55961.0,0.0,55961.0,1707.0
VNM.32.1_1,KhánhHòa,CamLâm,Tỉnh,Huyện,560810138.6780442,5159.0,29347.0,34506.0,62.0
VNM.43.2_1,NinhThuận,NinhHải,Tỉnh,Huyện,254265531.1886326,5621.0,24200.0,29821.0,117.0
VNM.21.3_1,GiaLai,ChưPăh,Tỉnh,Huyện,979413380.373013,3523.0,22056.0,25579.0,26.0
VNM.37.7_1,LâmĐồng,ĐàLạt,Tỉnh,ThànhPhố,393682218.35494,68229.0,7630.0,75859.0,193.0
VNM.37.12_1,LâmĐồng,LâmHà,Tỉnh,Huyện,939741648.4708909,9219.0,36597.0,45816.0,49.0
VNM.10.2_1,BìnhPhước,BùĐốp,Tỉnh,Huyện,376445595.58711505,2698.0,14864.0,17562.0,47.0
VNM.25.12_1,HồChíMinh,12,ThànhPhố,Quận,52772779.975914985,238048.0,0.0,238048.0,4511.0
VNM.25.21_1,HồChíMinh,9,ThànhPhố,Quận,114243941.83658263,175645.0,0.0,175645.0,1537.0
VNM.25.3_1,HồChíMinh,BìnhThạnh,ThànhPhố,Quận,20782403.42069514,183407.0,0.0,183407.0,8825.0
VNM.25.1_1,HồChíMinh,BìnhChánh,ThànhPhố,Huyện,252931400.55342704,7886.0,242870.0,250756.0,991.0
VNM.39.8_1,LongAn,MộcHóa,Tỉnh,Huyện,290841612.9869468,0.0,8656.0,8656.0,30.0
VNM.58.5_1,TiềnGiang,ChâuThành,Tỉnh,Huyện,233368416.10314798,1255.0,79874.0,81129.0,348.0
VNM.6.9_1,BếnTre,ThạnhPhú,Tỉnh,Huyện,410951892.03517413,2455.0,30036.0,32491.0,79.0
VNM.59.4_1,TràVinh,ChâuThành,Tỉnh,Huyện,385243761.4902203,1575.0,37969.0,39544.0,103.0
VNM.61.1_1,VĩnhLong,BìnhMinh,Tỉnh,ThịXã,93443293.86232701,10343.0,17392.0,27735.0,297.0
VNM.33.9_1,KiênGiang,KiênHải,Tỉnh,Huyện,25449895.664643362,0.0,5376.0,5376.0,211.0
VNM.12.4_1,CầnThơ,NinhKiều,ThànhPhố,Quận,29334082.636256367,123232.0,0.0,123232.0,4201.0
VNM.51.4_1,SócTrăng,LongPhú,Tỉnh,Huyện,264814569.29522127,5189.0,17259.0,22448.0,85.0
VNM.13.2_1,CàMau,CáiNước,Tỉnh,Huyện,416449194.7703703,4009.0,36283.0,40292.0,97.0
VNM.27.23_1,HàNội,SócSơn,ThànhPhố,Huyện,305154897.6519148,1226.0,104357.0,105583.0,346.0
VNM.44.1_1,PhúThọ,CẩmKhê,Tỉnh,Huyện,232738974.70808202,1647.0,38818.0,40465.0,174.0
VNM.41.21_1,NghệAn,YênThành,Tỉnh,Huyện,551472067.0749342,1193.0,98710.0,99903.0,181.0
VNM.48.3_1,QuảngNgãi,ĐứcPhổ,Tỉnh,Huyện,375751218.345039,1810.0,28737.0,30547.0,81.0
VNM.8.8_1,BìnhĐịnh,TâySơn,Tỉnh,Huyện,693260386.5013003,4339.0,23289.0,27628.0,40.0
VNM.32.2_1,KhánhHòa,CamRanh,Tỉnh,ThànhPhố,414573739.73279047,26882.0,12180.0,39062.0,94.0
VNM.37.2_1,LâmĐồng,BảoLâm,Tỉnh,Huyện,1464004443.5604243,6039.0,30976.0,37015.0,25.0
VNM.17.6_1,ĐồngNai,NhơnTrạch,Tỉnh,Huyện,376828125.087126,0.0,113394.0,113394.0,301.0
VNM.7.2_1,BàRịa-VũngTàu,ChâuĐức,Tỉnh,Huyện,424465583.4438603,4831.0,36020.0,40851.0,96.0
VNM.62.9_1,VĩnhPhúc,YênLạc,Tỉnh,Huyện,105899220.08518995,4202.0,39332.0,43534.0,411.0
VNM.63.9_1,YênBái,YênBình,Tỉnh,Huyện,773419610.425512,3569.0,29150.0,32719.0,42.0
VNM.62.1_1,VĩnhPhúc,BìnhXuyên,Tỉnh,Huyện,148509041.8054445,10971.0,29116.0,40087.0,270.0
VNM.57.2_1,ThanhHóa,BáThước,Tỉnh,Huyện,775523210.8325219,757.0,28530.0,29287.0,38.0
VNM.34.1_1,KonTum,ĐắkGlei,Tỉnh,Huyện,1492576215.7450223,2300.0,15445.0,17745.0,12.0
VNM.15.15_1,ĐắkLắk,BuônHồ,Tỉnh,ThịXã,283319821.6061315,17144.0,14927.0,32071.0,113.0
VNM.9.4_1,BìnhDương,DầuTiếng,Tỉnh,Huyện,721149869.8057079,5146.0,27788.0,32934.0,46.0
VNM.23.7_1,HảiPhòng,HảiAn,ThànhPhố,Quận,82499160.7798887,36787.0,0.0,36787.0,446.0
VNM.56.3_1,TháiNguyên,ĐồngHỷ,Tỉnh,Huyện,429629903.5048617,1763.0,26058.0,27821.0,65.0
VNM.6.7_1,BếnTre,MỏCàyBắc,Tỉnh,Huyện,166193977.51651528,0.0,26305.0,26305.0,158.0
VNM.18.6_1,ĐồngTháp,LấpVò,Tỉnh,Huyện,247627593.04476804,3011.0,47963.0,50974.0,206.0
VNM.38.9_1,LàoCai,VănBàn,Tỉnh,Huyện,1422128323.050878,1886.0,29083.0,30969.0,22.0
VNM.5.6_1,BắcNinh,ThuậnThành,Tỉnh,Huyện,117436889.767367,4066.0,47518.0,51584.0,439.0
VNM.46.3_1,QuảngBình,LệThủy,Tỉnh,Huyện,1399521152.2453878,2475.0,33752.0,36227.0,26.0
VNM.27.8_1,HàNội,ĐanPhượng,ThànhPhố,Huyện,78118329.929859,3049.0,49815.0,52864.0,677.0
VNM.14.3_1,CaoBằng,CaoBằng,Tỉnh,ThànhPhố,108222094.79488763,16462.0,3148.0,19610.0,181.0
VNM.49.13_1,QuảngNinh,UôngBí,Tỉnh,ThànhPhố,254927758.5447957,31908.0,2453.0,34361.0,135.0
VNM.55.3_1,TháiBình,KiếnXương,Tỉnh,Huyện,201791575.47727832,1856.0,50883.0,52739.0,261.0
VNM.42.8_1,NinhBình,YênMô,Tỉnh,Huyện,148834610.1724682,2300.0,32258.0,34558.0,232.0
VNM.45.8_1,PhúYên,TuyAn,Tỉnh,Huyện,408097305.744952,2486.0,31964.0,34450.0,84.0
VNM.25.2_1,HồChíMinh,BìnhTân,ThànhPhố,Quận,51913297.01102931,313567.0,0.0,313567.0,6040.0
VNM.58.3_1,TiềnGiang,CaiLậy,Tỉnh,Huyện,295148124.8058669,0.0,51270.0,51270.0,174.0
VNM.57.11_1,ThanhHóa,NgaSơn,Tỉnh,Huyện,151813376.21782118,1060.0,42687.0,43747.0,288.0
VNM.41.3_1,NghệAn,ConCuông,Tỉnh,Huyện,1743613113.4210858,1467.0,24131.0,25598.0,15.0
VNM.1.3_1,AnGiang,ChâuĐốc,Tỉnh,ThànhPhố,103471522.82808252,24289.0,3093.0,27382.0,265.0
VNM.17.2_1,ĐồngNai,CẩmMỹ,Tỉnh,Huyện,465888422.666906,0.0,44707.0,44707.0,96.0
VNM.58.4_1,TiềnGiang,ChợGạo,Tỉnh,Huyện,231335360.8421254,1781.0,47946.0,49727.0,215.0
VNM.41.10_1,NghệAn,NghiLộc,Tỉnh,Huyện,348580440.2615351,1820.0,69960.0,71780.0,206.0
VNM.16.2_1,ĐắkNông,ĐắkMil,Tỉnh,Huyện,681343853.6011331,3296.0,28804.0,32100.0,47.0
VNM.36.8_1,LaiChâu,ThanUyên,Tỉnh,Huyện,791088626.2986094,2190.0,21729.0,23919.0,30.0
VNM.25.9_1,HồChíMinh,PhúNhuận,ThànhPhố,Quận,4889675.214342304,51972.0,0.0,51972.0,10629.0
VNM.47.14_1,QuảngNam,QuếSơn,Tỉnh,Huyện,257990458.766649,1519.0,19616.0,21135.0,82.0
VNM.38.6_1,LàoCai,MườngKhương,Tỉnh,Huyện,553442615.2713643,3056.0,18562.0,21618.0,39.0
VNM.7.5_1,BàRịa-VũngTàu,PhúMỹ,Tỉnh,ThịXã,340428807.5145804,44477.0,19346.0,63823.0,187.0
VNM.27.3_1,HàNội,BaĐình,ThànhPhố,Quận,9287299.936862972,60903.0,0.0,60903.0,6558.0
VNM.27.7_1,HàNội,ĐốngĐa,ThànhPhố,Quận,10047879.337220855,124022.0,0.0,124022.0,12343.0
VNM.27.18_1,HàNội,MêLinh,ThànhPhố,Huyện,141770238.93038642,16622.0,63942.0,80564.0,568.0
VNM.27.11_1,HàNội,HàĐông,ThànhPhố,Quận,48809493.157354556,127752.0,0.0,127752.0,2617.0
