STORE_ID,STORE_NAME,is_winpay,region,city,district,ward,address,concept,status,date_open,date_close,lat,long
6A16,6A16- [Block] WIN+ Thanh Thúy,0,South,Ho Chi Minh,Tân Bình,12,"84 Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TPHCM",Urban,Đóng cửa,2023-06-08 00:00:00,2024-08-21 00:00:00,10.8000533,106.6503453
1572,1572- Outlet WM HNI Trung Hòa,0,North,Ha Noi,Q. Hai Bà Trưng,P. Thanh Nhàn,"Số 46 Thanh Nhàn, Phường Thanh Nhàn,",WMT,Đang hoạt động,2016-01-01 00:00:00,3000-01-01 00:00:00,21.002854,105.857994
6608,6608- WM+ KGG 537 Quốc lộ 80,0,West,Kien Giang,H. Hòn Đất,X. Bình Sơn,"537 Quốc lộ 80, Ấp Thuận Hòa, X. Bình Sơn, H. Hòn Đất, T. Kiên Giang",Urban,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,10.2576274871826,104.819839477539
2AG3,2AG3- WM+ HCM 49 Đông Thạnh 3-4,0,South,Ho Chi Minh,H. Hóc Môn,X. Đông Thạnh,"505/56/8E Ấp 7, X. Đông Thạnh, H. Hóc Môn, TP. HCM",Rural,Đang hoạt động,2023-09-23 00:00:00,3000-01-01 00:00:00,10.901177406311,106.637741088867
6534,6534- WM+ DNI 86 Lê Đại Hành,0,South,Dong Nai,TP. Biên Hòa,P. Hố Nai,"86 Lê Đại Hành, P. Hố Nai, TP. Biên Hòa, T. Đồng Nai",Urban,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,10.9684295654297,106.884323120117
6649,6649- WM+ DNI 289/4 Nguyễn Ái Quốc,0,South,Dong Nai,TP. Biên Hòa,P. Tân Biên,"289/4 Nguyễn Ái Quốc, Khu Phố 7, P. Tân Biên, TP. Biên Hòa, T. Đồng Nai",Urban,Đang hoạt động,2022-09-30 00:00:00,3000-01-01 00:00:00,10.9803762435913,106.891983032227
6818,6818- WM+ TNH 245 Lạc Long Quân,0,South,Tay Ninh,TX. Hòa Thành,P. Hiệp Tân,"245 Lạc Long Quân, KP. Hiệp Định, P. Hiệp Tân, TX. Hòa Thành, T. Tây Ninh",Rural,Đang hoạt động,2022-12-31 00:00:00,3000-01-01 00:00:00,11.2971649169922,106.119873046875
6825,"6825- WM+ LDG 511 - 513 Thống Nhất, Đức T",0,Central,Lam Dong,H. Đức Trọng,TT. Liên Nghĩa,"511 - 513 Thống Nhất, Thị Trấn Liên Nghĩa, Huyện Đức Trọng, Tỉnh Lâm Đồng, Việt Nam",Rural,Đang hoạt động,2022-11-30 00:00:00,3000-01-01 00:00:00,11.7211828231812,108.377319335938
6187,6187- WM+ DNI 55/7 Phạm Văn Đồng,0,South,Dong Nai,H. Nhơn Trạch,X. Phước Thiền,"55/7 Phạm Văn Đồng, X. Phước Thiền, H. Nhơn Trạch, T. Đồng Nai",Rural,Đang hoạt động,2022-03-19 00:00:00,3000-01-01 00:00:00,10.7521619796753,106.929786682129
6786,6786- WM+ TNH 17 Nguyễn Văn Linh,0,South,Tay Ninh,TX. Hòa Thành,P. Long Thành Bắc,"17 Nguyễn Văn Linh, KP. Long Thời, P. Long Thành Bắc, TX. Hòa Thành, T. Tây Ninh",Rural,Đang hoạt động,2023-02-16 00:00:00,3000-01-01 00:00:00,11.2863750457764,106.132820129395
6772,6772- WM+ TNH 617 Lạc Long Quân,0,South,Tay Ninh,TX. Hòa Thành,P. Hiệp Tân,"617 Lạc Long Quân, P. Hiệp Tân, TX. Hòa Thành, T. Tây Ninh",Rural,Đang hoạt động,2023-04-08 00:00:00,3000-01-01 00:00:00,11.2951231002808,106.106651306152
6536,6536- WM+ BDG 3/80 Thủ Khoa Huân,0,South,Binh Duong,TP. Thuận An,P. Thuận Giao,"Số 3/80 Thủ Khoa Huân, P. Thuận Giao, TP. Thuận An, T. Bình Dương.",Rural,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,10.9690494537354,106.712959289551
6730,6730- WM+ DNI 408 Đường số 4,0,South,Dong Nai,TP. Biên Hòa,P. An Bình,"408 Đường số 4, KP. 12, P An Bình, TP. Biên Hòa",Urban,Đang hoạt động,2022-10-31 00:00:00,3000-01-01 00:00:00,10.9286918640137,106.853126525879
6474,6474- WM+ DNI 291 Lý Thái Tổ,0,South,Dong Nai,H. Nhơn Trạch,X. Phước Thiền,"291 Lý Thái Tổ, Ấp Bến Sắn, X. Phước Thiền, H. Nhơn Trạch, T. Đồng Nai",Rural,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,10.7587814331055,106.932579040527
2AN7,2AN7- WM+ BTN 109 Cách Mạng Tháng 8,0,Central,Binh Thuan,H. Hàm Tân,TT. Tân Nghĩa,"109 Đường Cách Mạng Tháng 8, Thị trấn Tân Nghĩa, Huyện Hàm Tân, Tỉnh Bình thuận",Rural,Đang hoạt động,2023-12-02 00:00:00,3000-01-01 00:00:00,10.8186302185059,107.72575378418
5826,5826- WM+ DNI 507 Phùng Hưng,0,South,Dong Nai,TP. Biên Hòa,P. Tam Phước,"507 Phùng Hưng, Phường Tam Phước, TP Biên Hòa, Tỉnh Đồng Nai",Urban,Đang hoạt động,2021-11-30 00:00:00,3000-01-01 00:00:00,10.8610305786133,106.959884643555
6047,6047- WM+ HCM 602 Lê Quang Định,0,South,Ho Chi Minh,Q. Gò Vấp,P. 1,"602 Lê Quang Định, P. 1, Q. Gò Vấp, TP. HCM",Urban,Đang hoạt động,2021-11-25 00:00:00,3000-01-01 00:00:00,10.818434715271,106.689552307129
6413,6413- WM+ KGG 24A Tổ 1,0,West,Kien Giang,H. Châu Thành,X. Bình An,"24A, Tổ 1, Ấp An Bình, X. Bình An, H. Châu Thành, T. Kiên Giang",Urban,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,9.87302276409568,105.126313233838
2AF7,2AF7- WM+ HCM 36 Đường số 4D,0,South,Ho Chi Minh,TP. Thủ Đức,P. Linh Xuân,"36 Đường số 4D, P. Linh Xuân, TP. Thủ Đức (Q. Thủ Đức cũ), TP. Hồ Chí Minh",Urban,Đang hoạt động,2023-08-18 00:00:00,3000-01-01 00:00:00,10.8739185333252,106.76904296875
6885,6885- WM+ TGG 489 Quốc lộ 50,0,West,Tien Giang,TP. Mỹ Tho,P. 9,"489 Quốc lộ 50, khu phố 4, P. 9, TP. Mỹ Tho, T. Tiền Giang",Urban,Đang hoạt động,2022-12-30 00:00:00,3000-01-01 00:00:00,10.3514909744263,106.389694213867
4939,4939- WM+ DNI 48 Nguyễn Ái Quốc,0,South,Dong Nai,TP. Biên Hòa,P. Tam Hiệp,"48 Nguyễn Ái Quốc, P.Tam Hiệp,TP.Biên Hòa, Đồng Nai",Urban,Đóng cửa,2019-10-16 00:00:00,2024-08-16 00:00:00,10.9652460495139,106.847254407946
5745,5745- WM+ HCM 565G Tỉnh Lộ 15,0,South,Ho Chi Minh,H. Củ Chi,X. Tân Thạnh Đông,"565G Tỉnh Lộ 15, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM",Rural,Đang hoạt động,2021-07-17 00:00:00,3000-01-01 00:00:00,10.9668216705322,106.591094970703
5494,5494- WM+ VTU Đất trống giáo xứ Thánh Pho,0,South,Ba Ria Vung Tau,TX. Phú Mỹ,P. Mỹ Xuân,"Đất trống giáo xứ Thánh Phong, tổ 1, ấp Mỹ Thạnh, Xã Mỹ Xuân, Huyện Tân Thành, Bà Rịa - Vũng Tàu",Rural,Đang hoạt động,2020-03-28 00:00:00,3000-01-01 00:00:00,10.610668182373,107.060523986816
